pattern_label,company_count,percentage
Shareholder Returns,39,42.857142857142854
Reinvestor,16,17.582417582417584
Mixed,15,16.483516483516482
Growth Funded by Debt,12,13.186813186813188
Liquidating Assets,7,7.6923076923076925
Distress Signal,1,1.098901098901099
Pre-Revenue,1,1.098901098901099
