metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.361743764845407,11.612115350385197,16.27438209993858,26.083288417594787,48.39377808581729,125.07713388312118,640.6142504918673
debt_to_equity,0.004066731984914169,0.058099743078219884,0.43491620111731844,1.5942703351364202,6.445624336310825,1.6686326241644904,2.863149630275139
revenue_cagr_5yr,5.80595,8.4196,12.02935,17.217075,21.09655,12.979134444444444,7.410500227867698
pat_cagr_5yr,4.32448,9.564,16.1265,23.80645,39.40915999999999,21.104939759036142,21.68773578713712
eps_cagr_5yr,3.4298199999999994,9.137925000000001,14.8698,22.164525,31.79491000000001,18.987986585365856,20.32319526288311
operating_profit_margin_pct,9.828496146914242,16.41400149671069,26.006450869504782,40.954102654938524,84.25349024470464,34.899048856337444,27.578131937448248
net_profit_margin_pct,4.60996999769213,7.232424227856129,14.288299155609169,20.3643913103396,29.282025230717128,20.101573566892473,45.42569839742412
interest_coverage,1.6004741552023507,3.035119021042667,11.243421052631579,56.09016727866177,192.2895238095238,125.39394974279311,486.08166298700445
asset_turnover,0.07313499656780097,0.2086879019266913,0.6594352207122538,1.1362359251314187,1.663133526933345,3.5336343199051625,15.933835806754676
dividend_payout_ratio_pct,2.0,13.5,25.5,44.0,64.89999999999999,30.056818181818183,29.878050204331256
